ESNTL_ID,FCLTY_MANAGE_NO,ACDNT_YEAR,ACDNT_TY_NM,ZONE_CD,SIGNGU_NM,ACDNT_CAS_CO,CASLT_CO,DEATH_CO,SWPSN_CO,SINJPSN_CO,INJPSN_CO,FCLTY_LA,FCLTY_LO,SIGNGU_ACCTO_POPLTN_CO,RATE_VALUE
"KCISFPO24N000000336","6967812","2024","교통사고","43740003","충북 증평군 증평읍(윗장뜰오거리 부근)","11.00000","17.00000","0.00000","2.00000","14.00000","1.00000","36.78723583","127.586775","32134","0.03423"
"KCISFPO24N000000337","6967813","2024","교통사고","43750001","충북 진천군 진천읍(하버드어린이집 부근)","12.00000","17.00000","0.00000","3.00000","14.00000","0.00000","36.85476864","127.4444781","80134","0.01497"
"KCISFPO24N000000338","6967814","2024","교통사고","43750002","충북 진천군 덕산읍(에스알 스타약국 부근)","11.00000","19.00000","0.00000","1.00000","18.00000","0.00000","36.90309936","127.5346877","80134","0.01373"
"KCISFPO24N000000339","6967815","2024","교통사고","43750003","충북 진천군 광혜원면(광혜원삼거리 부근)","11.00000","15.00000","0.00000","4.00000","11.00000","0.00000","36.99009348","127.445671","80134","0.01373"
"KCISFPO24N000000340","6967816","2024","교통사고","43760001","충북 괴산군 괴산읍(시계탑사거리 부근)","7.00000","9.00000","0.00000","4.00000","4.00000","1.00000","36.80822187","127.7944719","30071","0.02328"
"KCISFPO24N000000341","6967817","2024","교통사고","43760002","충북 괴산군 장연면(괴산주유소 상행 부근)","4.00000","4.00000","0.00000","1.00000","3.00000","0.00000","36.83178432","127.9589467","30071","0.01330"
"KCISFPO24N000000342","6967818","2024","교통사고","43760003","충북 괴산군 괴산읍(대사삼거리 부근)","3.00000","3.00000","1.00000","1.00000","1.00000","0.00000","36.79829938","127.7838563","30071","0.00998"
"KCISFPO24N000000343","6967819","2024","교통사고","43770001","충북 음성군 맹동면(레이지다이닝 부근)","14.00000","21.00000","0.00000","2.00000","19.00000","0.00000","36.90748748","127.5414738","102171","0.01370"
"KCISFPO24N000000344","6967820","2024","교통사고","43770002","충북 음성군 금왕읍(무극시장 부근)","8.00000","11.00000","0.00000","1.00000","10.00000","0.00000","36.99378146","127.595235","102171","0.00783"
"KCISFPO24N000000345","6967821","2024","교통사고","43770003","충북 음성군 음성읍(설성교 부근)","8.00000","9.00000","0.00000","2.00000","7.00000","0.00000","36.92944642","127.6925233","102171","0.00783"
"KCISFPO24N000000346","6967822","2024","교통사고","43800001","충북 단양군 단양읍(단양구경시장 부근)","7.00000","8.00000","0.00000","2.00000","6.00000","0.00000","36.98226627","128.3690901","22700","0.03084"
"KCISFPO24N000000347","6967823","2024","교통사고","43800002","충북 단양군 단양읍(소노문단양 오션플레이 부근)","4.00000","5.00000","0.00000","1.00000","4.00000","0.00000","36.97664808","128.3620631","22700","0.01762"
"KCISFPO24N000000348","6967824","2024","교통사고","43800003","충북 단양군 단양읍(별곡사거리 부근)","4.00000","4.00000","0.00000","1.00000","3.00000","0.00000","36.98552804","128.3683271","22700","0.01762"
"KCISFPO24N000000349","6967825","2024","교통사고","44130001","충남 천안시 서북구 두정동(동대문약국 부근)","54.00000","61.00000","0.00000","7.00000","40.00000","14.00000","36.83309382","127.1367728","357585","0.01510"
"KCISFPO24N000000350","6967826","2024","교통사고","44130002","충남 천안시 서북구 불당동(불당설약국 부근)","43.00000","57.00000","0.00000","7.00000","40.00000","10.00000","36.81304124","127.108087","357585","0.01203"
"KCISFPO24N000000351","6967827","2024","교통사고","44130003","충남 천안시 서북구 쌍용동(일봉산사거리 부근)","42.00000","60.00000","1.00000","12.00000","42.00000","5.00000","36.79820922","127.1306556","357585","0.01175"
"KCISFPO24N000000352","6967828","2024","교통사고","44150001","충남 공주시 신관동(신관초교차로 부근)","20.00000","29.00000","0.00000","5.00000","23.00000","1.00000","36.47382557","127.1370356","84211","0.02375"
"KCISFPO24N000000353","6967829","2024","교통사고","44150002","충남 공주시 신관동(미소약국 부근)","12.00000","18.00000","0.00000","5.00000","12.00000","1.00000","36.47452181","127.1404746","84211","0.01425"
"KCISFPO24N000000354","6967830","2024","교통사고","44150003","충남 공주시 옥룡동(옥룡교차로 부근)","12.00000","14.00000","0.00000","0.00000","14.00000","0.00000","36.456481","127.1340739","84211","0.01425"
"KCISFPO24N000000355","6967831","2024","교통사고","44180001","충남 보령시 대천동(명문당사거리 부근)","15.00000","17.00000","0.00000","6.00000","11.00000","0.00000","36.35006281","126.5967142","80523","0.01863"
"KCISFPO24N000000356","6967832","2024","교통사고","44180002","충남 보령시 동대동(동대사거리 부근)","9.00000","14.00000","0.00000","5.00000","9.00000","0.00000","36.34790357","126.6043081","80523","0.01118"
"KCISFPO24N000000357","6967833","2024","교통사고","44180003","충남 보령시 명천동(대천중학교 부근)","9.00000","11.00000","0.00000","6.00000","5.00000","0.00000","36.34392599","126.6028493","80523","0.01118"
"KCISFPO24N000000358","6967834","2024","교통사고","44200001","충남 아산시 온천동(송악사거리 부근)","21.00000","29.00000","0.00000","5.00000","24.00000","0.00000","36.77955733","127.0096242","322869","0.00650"
"KCISFPO24N000000359","6967835","2024","교통사고","44200002","충남 아산시 온천동(역전삼거리 부근)","19.00000","23.00000","2.00000","5.00000","16.00000","0.00000","36.78102331","127.0034619","322869","0.00588"
"KCISFPO24N000000360","6967836","2024","교통사고","44200003","충남 아산시 배방읍(우성약국 부근)","19.00000","25.00000","0.00000","2.00000","23.00000","0.00000","36.79722773","127.1064154","322869","0.00588"
"KCISFPO24N000000361","6967837","2024","교통사고","44210001","충남 서산시 동문동(동문동사거리 부근)","22.00000","25.00000","1.00000","8.00000","11.00000","5.00000","36.78269657","126.4594366","148547","0.01481"
"KCISFPO24N000000362","6967838","2024","교통사고","44210002","충남 서산시 예천동(드림약국 부근)","18.00000","20.00000","0.00000","6.00000","12.00000","2.00000","36.77292186","126.4509994","148547","0.01212"
"KCISFPO24N000000363","6967839","2024","교통사고","44210003","충남 서산시 동문동(동문53통사무소 부근)","13.00000","18.00000","0.00000","4.00000","14.00000","0.00000","36.78189008","126.4553571","148547","0.00875"
"KCISFPO24N000000364","6967840","2024","교통사고","44230001","충남 논산시 반월동(하나은행사거리 부근)","11.00000","20.00000","0.00000","5.00000","15.00000","0.00000","36.20484879","127.0846172","101723","0.01081"
"KCISFPO24N000000365","6967841","2024","교통사고","44230002","충남 논산시 취암동(논산오거리 부근)","8.00000","17.00000","1.00000","1.00000","15.00000","0.00000","36.20239846","127.0877727","101723","0.00786"
"KCISFPO24N000000366","6967842","2024","교통사고","44230003","충남 논산시 취암동(꾸러기어린이집 부근)","8.00000","13.00000","0.00000","4.00000","9.00000","0.00000","36.195312","127.0890222","101723","0.00786"
"KCISFPO24N000000367","6967843","2024","교통사고","44250001","충남 계룡시 엄사면(평리사거리 부근)","7.00000","14.00000","0.00000","2.00000","11.00000","1.00000","36.28796933","127.2444457","35451","0.01975"
"KCISFPO24N000000368","6967844","2024","교통사고","44250002","충남 계룡시 엄사면(엄사사거리 부근)","5.00000","9.00000","0.00000","0.00000","9.00000","0.00000","36.28717351","127.2412077","35451","0.01410"
"KCISFPO24N000000369","6967845","2024","교통사고","44250003","충남 계룡시 엄사면(샘물어린이집 부근)","4.00000","8.00000","0.00000","0.00000","8.00000","0.00000","36.28302555","127.2394643","35451","0.01128"
"KCISFPO24N000000370","6967846","2024","교통사고","44270001","충남 당진시 읍내동(서정약국 부근)","20.00000","32.00000","0.00000","6.00000","26.00000","0.00000","36.89959083","126.6325966","140995","0.01418"
"KCISFPO24N000000371","6967847","2024","교통사고","44270002","충남 당진시 수청동(실내놀이터키다리방방 부근)","14.00000","23.00000","0.00000","2.00000","20.00000","1.00000","36.90108047","126.6465688","140995","0.00993"
"KCISFPO24N000000372","6967848","2024","교통사고","44270003","충남 당진시 채운동(당진2교교차로 부근)","13.00000","16.00000","0.00000","3.00000","13.00000","0.00000","36.89132984","126.6267443","140995","0.00922"
"KCISFPO24N000000373","6967849","2024","교통사고","44710001","충남 금산군 금산읍(중도오거리 부근)","7.00000","8.00000","1.00000","3.00000","4.00000","0.00000","36.1019136","127.4990659","42169","0.01660"
"KCISFPO24N000000374","6967850","2024","교통사고","44710002","충남 금산군 금산읍(또래어린이집 부근)","7.00000","7.00000","0.00000","4.00000","3.00000","0.00000","36.10941669","127.4901225","42169","0.01660"
"KCISFPO24N000000375","6967851","2024","교통사고","44710003","충남 금산군 금산읍(예원유치원 부근)","6.00000","8.00000","0.00000","4.00000","4.00000","0.00000","36.1023439","127.4912788","42169","0.01423"
"KCISFPO24N000000376","6967852","2024","교통사고","44760001","충남 부여군 부여읍(성왕로터리 부근)","17.00000","24.00000","1.00000","10.00000","13.00000","0.00000","36.28176136","126.9100081","51509","0.03300"
"KCISFPO24N000000377","6967854","2024","교통사고","44760002","충남 부여군 부여읍(미성삼거리 부근)","7.00000","9.00000","0.00000","6.00000","3.00000","0.00000","36.28324439","126.9119462","51509","0.01359"
"KCISFPO24N000000378","6967853","2024","교통사고","44760003","충남 부여군 부여읍(궁남사거리 부근)","7.00000","9.00000","0.00000","4.00000","5.00000","0.00000","36.27640443","126.91158","51509","0.01359"
"KCISFPO24N000000379","6967855","2024","교통사고","44770001","충남 서천군 서천읍(서천119안전센터 부근)","12.00000","16.00000","0.00000","4.00000","12.00000","0.00000","36.07598074","126.6883076","41530","0.02889"
"KCISFPO24N000000380","6967856","2024","교통사고","44770002","충남 서천군 마서면(장항역사거리 부근)","6.00000","32.00000","0.00000","6.00000","26.00000","0.00000","36.03871065","126.7088867","41530","0.01445"
"KCISFPO24N000000381","6967857","2024","교통사고","44770003","충남 서천군 서천읍(서림지구대 부근)","5.00000","6.00000","0.00000","3.00000","3.00000","0.00000","36.0766033","126.690677","41530","0.01204"
"KCISFPO24N000000382","6967858","2024","교통사고","44790001","충남 청양군 정산면(서정리사거리 부근)","8.00000","19.00000","0.00000","7.00000","12.00000","0.00000","36.4111513","126.9503551","23715","0.03373"
"KCISFPO24N000000383","6967859","2024","교통사고","44790002","충남 청양군 청양읍(칠갑지구대 부근)","6.00000","12.00000","0.00000","5.00000","7.00000","0.00000","36.45039909","126.7999998","23715","0.02530"
"KCISFPO24N000000384","6967860","2024","교통사고","44790003","충남 청양군 청양읍(미소어린이집 부근)","5.00000","6.00000","0.00000","0.00000","5.00000","1.00000","36.44702167","126.8018281","23715","0.02108"
"KCISFPO24N000000385","6967861","2024","교통사고","44800001","충남 홍성군 홍성읍(덕산통사거리 부근)","9.00000","11.00000","0.00000","1.00000","10.00000","0.00000","36.6054952","126.6615098","84293","0.01068"
"KCISFPO24N000000386","6967862","2024","교통사고","44800002","충남 홍성군 홍성읍(대교1교차로 부근)","7.00000","10.00000","0.00000","0.00000","10.00000","0.00000","36.60251909","126.6772677","84293","0.00830"
"KCISFPO24N000000387","6967863","2024","교통사고","44800003","충남 홍성군 홍북읍(적십자사사거리 부근)","7.00000","7.00000","0.00000","3.00000","4.00000","0.00000","36.6574921","126.6813711","84293","0.00830"
"KCISFPO24N000000388","6967864","2024","교통사고","44810001","충남 예산군 예산읍(예산상설시장 부근)","13.00000","15.00000","0.00000","5.00000","10.00000","0.00000","36.6765766","126.8498312","64744","0.02008"
"KCISFPO24N000000389","6967865","2024","교통사고","44810002","충남 예산군 예산읍(아리랑고개 회전교차로 부근)","11.00000","18.00000","0.00000","5.00000","11.00000","2.00000","36.68693242","126.8425516","64744","0.01699"
"KCISFPO24N000000390","6967866","2024","교통사고","44810003","충남 예산군 예산읍(터미널사거리 부근)","10.00000","13.00000","0.00000","2.00000","11.00000","0.00000","36.69211924","126.8362203","64744","0.01545"
"KCISFPO24N000000391","6967867","2024","교통사고","44820001","충남 태안군 태안읍(태안서부시장 부근)","11.00000","13.00000","0.00000","5.00000","8.00000","0.00000","36.75414933","126.2959472","50884","0.02162"
"KCISFPO24N000000392","6967868","2024","교통사고","44820002","충남 태안군 태안읍(우체국사거리 부근)","9.00000","10.00000","0.00000","3.00000","7.00000","0.00000","36.75141668","126.2974967","50884","0.01769"
"KCISFPO24N000000393","6967869","2024","교통사고","44820003","충남 태안군 태안읍(플레이방방 부근)","5.00000","7.00000","0.00000","0.00000","7.00000","0.00000","36.74933609","126.3042229","50884","0.00983"
"KCISFPO24N000000394","6967910","2024","교통사고","46110001","전남 목포시 상동(공단삼거리 부근)","34.00000","53.00000","1.00000","6.00000","46.00000","0.00000","34.81589311","126.4201429","182754","0.01860"
"KCISFPO24N000000395","6967911","2024","교통사고","46110002","전남 목포시 옥암동(25호광장교차로 부근)","28.00000","44.00000","0.00000","4.00000","40.00000","0.00000","34.80288083","126.4385711","182754","0.01532"
"KCISFPO24N000000396","6967912","2024","교통사고","46110003","전남 목포시 용해동(경찰서사거리 부근)","28.00000","40.00000","0.00000","4.00000","33.00000","3.00000","34.81305431","126.399375","182754","0.01532"
"KCISFPO24N000000397","6967913","2024","교통사고","46130001","전남 여수시 학동(시청앞로터리 부근)","46.00000","65.00000","0.00000","4.00000","60.00000","1.00000","34.76166279","127.6630874","227419","0.02023"
"KCISFPO24N000000398","6967914","2024","교통사고","46130002","전남 여수시 학동(부영3단지사거리 부근)","35.00000","51.00000","0.00000","4.00000","46.00000","1.00000","34.759273","127.666579","227419","0.01539"
"KCISFPO24N000000399","6967915","2024","교통사고","46130003","전남 여수시 여서동(여서농협삼거리 부근)","24.00000","28.00000","0.00000","4.00000","20.00000","4.00000","34.75407682","127.7056358","227419","0.01055"
"KCISFPO24N000000400","6967916","2024","교통사고","46150001","전남 순천시 조례동(세브란스약국 부근)","39.00000","55.00000","0.00000","7.00000","48.00000","0.00000","34.95322989","127.5181968","225126","0.01732"
"KCISFPO24N000000401","6967917","2024","교통사고","46150002","전남 순천시 조례동(2도비어 순천점 부근)","20.00000","26.00000","0.00000","2.00000","24.00000","0.00000","34.95712708","127.518688","225126","0.00888"
"KCISFPO24N000000402","6967918","2024","교통사고","46150003","전남 순천시 연향동(색깔나라어린이집 부근)","17.00000","20.00000","0.00000","4.00000","15.00000","1.00000","34.94800576","127.5232854","225126","0.00755"
"KCISFPO24N000000403","6967919","2024","교통사고","46170001","전남 나주시 빛가람동(365 우리약국 부근)","11.00000","22.00000","0.00000","1.00000","20.00000","1.00000","35.02151229","126.7838842","93658","0.01174"
"KCISFPO24N000000404","6967920","2024","교통사고","46170002","전남 나주시 성북동(주공아파트앞교차로 부근)","9.00000","19.00000","0.00000","3.00000","16.00000","0.00000","35.03509991","126.7180773","93658","0.00961"
"KCISFPO24N000000405","6967921","2024","교통사고","46170003","전남 나주시 금계동(매일시장 부근)","9.00000","15.00000","0.00000","2.00000","13.00000","0.00000","35.0314612","126.7169447","93658","0.00961"
"KCISFPO24N000000406","6967922","2024","교통사고","46230001","전남 광양시 광양읍(생약국 부근)","15.00000","18.00000","1.00000","7.00000","10.00000","0.00000","34.97868877","127.5840577","115552","0.01298"
"KCISFPO24N000000407","6967923","2024","교통사고","46230002","전남 광양시 중동(호반아파트 사거리 부근)","15.00000","19.00000","0.00000","1.00000","18.00000","0.00000","34.93633142","127.6959433","115552","0.01298"
"KCISFPO24N000000408","6967924","2024","교통사고","46230003","전남 광양시 중동(햇빛어린이집 부근)","14.00000","21.00000","0.00000","1.00000","19.00000","1.00000","34.93597982","127.6906012","115552","0.01212"
"KCISFPO24N000000409","6967925","2024","교통사고","46710001","전남 담양군 담양읍(담양공고회전교차로 부근)","16.00000","21.00000","0.00000","0.00000","21.00000","0.00000","35.30049008","126.980115","34533","0.04633"
"KCISFPO24N000000410","6967926","2024","교통사고","46710002","전남 담양군 담양읍(담양읍교차로 부근)","13.00000","16.00000","0.00000","1.00000","13.00000","2.00000","35.31502583","126.9834048","34533","0.03765"
"KCISFPO24N000000411","6967927","2024","교통사고","46710003","전남 담양군 담양읍(중파사거리 부근)","11.00000","22.00000","0.00000","1.00000","21.00000","0.00000","35.31976242","126.9811588","34533","0.03185"
"KCISFPO24N000000412","6967928","2024","교통사고","46720001","전남 곡성군 곡성읍(죽동회전삼거리 부근)","11.00000","23.00000","0.00000","3.00000","20.00000","0.00000","35.27520281","127.286888","20121","0.05467"
"KCISFPO24N000000413","6967929","2024","교통사고","46720002","전남 곡성군 곡성읍(경찰서사거리 부근)","5.00000","6.00000","1.00000","0.00000","5.00000","0.00000","35.28320393","127.2992054","20121","0.02485"
"KCISFPO24N000000414","6967930","2024","교통사고","46720003","전남 곡성군 곡성읍(시장교차로 부근)","5.00000","6.00000","0.00000","1.00000","4.00000","1.00000","35.28013162","127.2966575","20121","0.02485"
"KCISFPO24N000000415","6967931","2024","교통사고","46730001","전남 구례군 구례읍(호박마녀의한끼 부근)","6.00000","10.00000","1.00000","0.00000","6.00000","3.00000","35.20728152","127.4646995","18410","0.03259"
"KCISFPO24N000000416","6967932","2024","교통사고","46730002","전남 구례군 구례읍(동바리해장국 구례점 부근)","5.00000","9.00000","0.00000","1.00000","7.00000","1.00000","35.20688351","127.468772","18410","0.02716"
"KCISFPO24N000000417","6967933","2024","교통사고","46730003","전남 구례군 구례읍(구례어린이집 부근)","4.00000","7.00000","0.00000","0.00000","4.00000","3.00000","35.21345713","127.4618496","18410","0.02173"
"KCISFPO24N000000418","6967934","2024","교통사고","46770001","전남 고흥군 고흥읍(고흥전통시장 부근)","10.00000","10.00000","0.00000","4.00000","6.00000","0.00000","34.60802543","127.2854138","49618","0.02015"
"KCISFPO24N000000419","6967935","2024","교통사고","46770002","전남 고흥군 도양읍(도양읍의용소방대 부근)","9.00000","11.00000","0.00000","3.00000","8.00000","0.00000","34.52803622","127.1358637","49618","0.01814"
"KCISFPO24N000000420","6967936","2024","교통사고","46770003","전남 고흥군 도양읍(버스터미널삼거리 부근)","6.00000","7.00000","0.00000","1.00000","6.00000","0.00000","34.53323455","127.13956","49618","0.01209"
"KCISFPO24N000000421","6967937","2024","교통사고","46780001","전남 보성군 벌교읍(역전삼거리 부근)","7.00000","9.00000","0.00000","1.00000","7.00000","1.00000","34.84360764","127.344304","30033","0.02331"
"KCISFPO24N000000422","6967938","2024","교통사고","46780002","전남 보성군 보성읍(동암사거리 부근)","6.00000","10.00000","0.00000","1.00000","8.00000","1.00000","34.77070358","127.0939763","30033","0.01998"
"KCISFPO24N000000423","6967939","2024","교통사고","46780003","전남 보성군 벌교읍(벌교시장 부근)","6.00000","9.00000","0.00000","0.00000","9.00000","0.00000","34.84505281","127.3461444","30033","0.01998"
"KCISFPO24N000000424","6967940","2024","교통사고","46790001","전남 화순군 화순읍(우체국교차로 부근)","18.00000","24.00000","0.00000","2.00000","21.00000","1.00000","35.06111498","126.9910039","48851","0.03685"
"KCISFPO24N000000425","6967941","2024","교통사고","46790002","전남 화순군 화순읍(자치샘사거리 부근)","15.00000","21.00000","0.00000","5.00000","14.00000","2.00000","35.06049007","126.9850516","48851","0.03071"
"KCISFPO24N000000426","6967942","2024","교통사고","46790003","전남 화순군 화순읍(건강보험공단사거리 부근)","10.00000","13.00000","0.00000","2.00000","11.00000","0.00000","35.06310949","126.9880347","48851","0.02047"
"KCISFPO24N000000427","6967943","2024","교통사고","46800001","전남 장흥군 장흥읍(장흥군민회관 부근)","19.00000","24.00000","0.00000","8.00000","14.00000","2.00000","34.67789533","126.9084219","28522","0.06662"
"KCISFPO24N000000428","6967944","2024","교통사고","46800002","전남 장흥군 장흥읍(읍내지구대 부근)","13.00000","16.00000","0.00000","2.00000","13.00000","1.00000","34.68048907","126.9077158","28522","0.04558"
"KCISFPO24N000000429","6967945","2024","교통사고","46800003","전남 장흥군 장흥읍(그랜드약국 부근)","9.00000","17.00000","0.00000","3.00000","13.00000","1.00000","34.67835577","126.9110387","28522","0.03155"
